,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
,-6022.839356256148,-1.9061778581562976,0.22564232799999995,7,"8625,","8625,"
,-6028.600099803224,-7.666921405232642,3.384634919999999,8,"18971,","18971,"
,-6024.163440195454,-3.2302617974628447,2.2564232799999995,7,"8721,","8721,"
,-6026.531187274931,-5.598008876939275,1.1282116399999997,7,"19064,","19064,"
,-6021.447929259299,-0.5147508613072205,5.641058199999999,7,"10732,","10732,"
,-6024.158044476767,-3.224866078775449,2.8205290999999995,7,"11137,","11137,"
,-6024.989893989245,-4.056715591253123,1.1282116399999997,7,"10289,","10289,"
,-6024.984475931408,-4.0512975334168,1.6923174599999995,7,"24837,","24837,"
,-6023.510185452004,-2.577007054012938,5.612852908999998,7,"23061,","23061,"
,-6020.9331783979915,0.0,0.5641058199999999,6,"6093,","6093,"
